Nom,Origine(pays),Photo
Naan,Inde,Naan.jpeg
Samosa,Inde,Samosa.jpeg
Butter Chicken,Inde,Butter_chicken.jpeg
Dosa,Inde,Dosa.jpeg
Gulab jamun,Inde,Gulab_jamun.jpeg
Bobotie,Afrique du Sud,Bobotie.jpeg
Potjekos,Afrique du Sud,Potjekos.jpeg
Malva pudding,Afrique du Sud,Malva_pudding.jpeg
Bunny chow,Afrique du Sud,Bunny_chow.jpeg
Chakalaka,Afrique du Sud,Chakalaka.jpeg
Poutine,Canada,Poutine.jpeg
Butter tarts,Canada,Butter_tarts.jpeg
Nanaimo bars,Canada,Nanaimo_bars.jpeg
Lobster rolls,Canada,Lobster_rolls.jpeg
Split pea soup,Canada,Split_pea_soup.jpeg
Soda bread,Irlande,Soda_bread.jpeg
Guinness pie,Irlande,Guinness_pie.jpeg
Seafood chowder,Irlande,Seafood_chowder.jpeg
Haggis,Irlande,Haggis.jpeg
Boxty,Irlande,Boxty.jpeg
